Data do início da análise,Campus,Nome completo do avaliador do processo CAR,Nome completo do orientador Ifes,Nome completo do ponto focal Idaf,Código Edocs,Processo florestal nº,Código do empreendimento nº,Município,Meta de prazo de encaminhamento do processo,Status,Motivo da notificação ao proprietário (se aplicável),Detalhamento da Notificação (Outros - Descrever),Data da ultima atualização de status
11/12/25 14:21,Alegre,Beatriz Pirovani Bernardo,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-K6T2R,1995/2023,625394,Jerônimo Monteiro,23/12/2025,05 - Sem parecer,,,
11/12/25 14:32,Alegre,Beatriz Pirovani Bernardo,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-1319F,15051/2017,14903,Muniz Freire,23/12/2025,05 - Sem parecer,,,
11/12/25 14:45,Alegre,Beatriz Pirovani Bernardo,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-5D0RX,6023/2020,610553,Alegre,23/12/2025,05 - Sem parecer,,,
11/12/25 15:35,Alegre,Beatriz Pirovani Bernardo,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-6X1P8,12537/2016,76273,Guaçuí,23/12/2025,05 - Sem parecer,,,
11/12/25 15:51,Alegre,Beatriz Pirovani Bernardo,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-0JPM2,476/2015,35020,Alegre,23/12/2025,05 - Sem parecer,,,
11/12/25 16:04,Alegre,Beatriz Pirovani Bernardo,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-N8N3B,34528/2015,58867,Jerônimo Monteiro,23/12/2025,05 - Sem parecer,,,
11/12/25 16:17,Alegre,Beatriz Pirovani Bernardo,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-430VJ,11270/2015,41244,Jerônimo Monteiro,23/12/2025,05 - Sem parecer,,,
09/12/2025,Alegre,Eloá Rocha Corrêa,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-QP2PM,1080/2023,625234,Guarapari,23/12/2025,05 - Sem parecer,,,
09/12/2025,Alegre,Eloá Rocha Corrêa,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-P9VK8,3027/2023,625577,Alegre,23/12/2025,05 - Sem parecer,,,
09/12/2025,Alegre,Eloá Rocha Corrêa,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-SGDMP,5282/2015,37672,Alegre,23/12/2025,05 - Sem parecer,,,
10/12/2025,Alegre,Eloá Rocha Corrêa,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-0579R,8848/2023,626609,Alegre,23/12/2025,05 - Sem parecer,,,
10/12/2025,Alegre,Eloá Rocha Corrêa,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-5WB64,9022/2023,626636,Alegre,23/12/2025,05 - Sem parecer,,,
10/12/2025,Alegre,Eloá Rocha Corrêa,Jeferson Luiz Ferrari,Nathale Bicalho Corrêa Dalvi,2025-L83K2,12503/2023,627376,Alegre,23/12/2025,05 - Sem parecer,,,
